ShapeId,Type,W,A,d,Ht,h,OD,bf,B,b,ID,tw,tf,t,tnom,tdes,kdes,x,y,eo,xp,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tanAlpha,Qs,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
HSS8X4X.188,HSS,14.53,3.98,0,8.00,7.48,0,0,4.00,3.48,0,0,0,0,0.1875,0.174,0,0,0,0,0,0,33.1,10.2,8.27,2.88,11.3,6.33,5.65,1.69,0,0,0,27.2,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X4X.125,HSS,9.86,2.70,0,8.00,7.65,0,0,4.00,3.65,0,0,0,0,0.125,0.116,0,0,0,0,0,0,22.9,7.02,5.73,2.92,7.9,4.36,3.95,1.71,0,0,0,18.7,0,7.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X3X.500,HSS,31.84,8.81,0,8.00,6.60,0,0,3.00,1.60,0,0,0,0,0.500,0.465,0,0,0,0,0,0,58.6,20,14.6,2.58,11.7,9.64,7.81,1.15,0,0,0,34.3,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X3X.375,HSS,24.93,6.88,0,8.00,6.95,0,0,3.00,1.95,0,0,0,0,0.375,0.349,0,0,0,0,0,0,48.5,16.1,12.1,2.65,10,7.88,6.63,1.2,0,0,0,28.5,0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X3X.313,HSS,21.21,5.85,0,8.00,7.13,0,0,3.00,2.13,0,0,0,0,0.3125,0.291,0,0,0,0,0,0,42.4,13.9,10.6,2.69,8.81,6.84,5.87,1.23,0,0,0,24.9,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X3X.250,HSS,17.32,4.77,0,8.00,7.30,0,0,3.00,2.30,0,0,0,0,0.250,0.233,0,0,0,0,0,0,35.5,11.5,8.88,2.73,7.49,5.7,4.99,1.25,0,0,0,20.8,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X3X.188,HSS,13.25,3.63,0,8.00,7.48,0,0,3.00,2.48,0,0,0,0,0.1875,0.174,0,0,0,0,0,0,27.8,8.87,6.94,2.77,5.94,4.43,3.96,1.28,0,0,0,16.2,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X3X.125,HSS,9.01,2.46,0,8.00,7.65,0,0,3.00,2.65,0,0,0,0,0.125,0.116,0,0,0,0,0,0,19.3,6.11,4.83,2.8,4.2,3.07,2.8,1.31,0,0,0,11.3,0,5.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X2X.375,HSS,22.37,6.18,0,8.00,6.95,0,0,2.00,0.953,0,0,0,0,0.375,0.349,0,0,0,0,0,0,38.2,13.4,9.56,2.49,3.73,4.61,3.73,0.777,0,0,0,12.1,0,8.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X2X.313,HSS,19.08,5.26,0,8.00,7.13,0,0,2.00,1.13,0,0,0,0,0.3125,0.291,0,0,0,0,0,0,33.7,11.6,8.43,2.53,3.38,4.06,3.38,0.802,0,0,0,10.9,0,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
